po_number,vendor_name,po_amount,currency,date_issued,status,tolerance_percent
PO-1001,Zamp.ai,324500.00,INR,2026-01-15,open,2
PO-1002,Infosys Limited,1037500.00,INR,2026-02-01,close,2
PO-1003,Swiggy,265600.00,INR,2026-02-10,open,5
PO-1004,Zomato,726250.00,INR,2026-03-01,open,2
PO-1005,HCL Technologies,1245000.00,INR,2026-03-15,open,2
PO-1006,IBM ,523290.00,INR,2026-04-01,open,3
PO-1007,Google ,174300.00,INR,2026-04-10,open,5
PO-1008,NetApp ,780200.00,INR,2026-04-20,open,1
PO-1009,Zigment,398400.00,INR,2026-05-01,open,2
PO-1010,Wipro Limited,929600.00,INR,2026-05-10,open,2
PO-1011,Tata Consultancy Services,312000.00,INR,2026-01-20,open,3
PO-1012,Flipkart,845000.00,INR,2026-02-05,open,2
PO-1013,Razorpay,1560000.00,INR,2026-02-18,open,2
PO-1014,Freshworks,423000.00,INR,2026-03-05,open,5
PO-1015,Ola Electric,678000.00,INR,2026-03-22,open,2
PO-1016,Zepto,215000.00,INR,2026-04-02,open,3
PO-1017,PhonePe,934000.00,INR,2026-04-15,open,2
PO-1018,Zomato,287500.00,INR,2026-04-28,open,2
PO-1019,Meesho,1125000.00,INR,2026-05-03,open,5
PO-1020,Dunzo,763000.00,INR,2026-05-12,open,2
